Column1,Sample,Timepoint,Delivery,Diet,Kati_Allo
MSC16023,MSC16023,MM,,,
MSC16024,MSC16024,MM,,,
MSC16025,MSC16025,MM,,,
MSC16026,MSC16026,MM,,,
MSC16027,MSC16027,MM,,,
MSC16028,MSC16028,MM,,,
MSC16029,MSC16029,MM,,,
MSC16030,MSC16030,MM,,,
MSC16031,MSC16031,MM,,,
MSC16032,MSC16032,MM,,,
MSC16033,MSC16033,MM,,,
MSC16034,MSC16034,MM,,,
MSC16035,MSC16035,MM,,,
MSC16036,MSC16036,MM,,,
MSC16037,MSC16037,MM,,,
MSC16038,MSC16038,MM,,,
MSC16039,MSC16039,MM,,,
MSC16040,MSC16040,MM,,,
MSC16041,MSC16041,MM,,,
MSC16042,MSC16042,MM,,,
MSC16043,MSC16043,MM,,,
MSC16044,MSC16044,MM,,,
MSC16045,MSC16045,MM,,,
MSC16046,MSC16046,MM,,,
MSC16047,MSC16047,MM,,,
MSC16048,MSC16048,MM,,,
MSC16049,MSC16049,MM,,,
MSC16050,MSC16050,MM,,,
MSC16051,MSC16051,MM,,,
MSC16052,MSC16052,MM,,,
MSC16053,MSC16053,MM,,,
MSC16054,MSC16054,MM,,,
MSC16055,MSC16055,MM,,,
MSC16056,MSC16056,MM,,,
MSC16057,MSC16057,MM,,,
MSC16058,MSC16058,MM,,,
MSC16059,MSC16059,MM,,,
MSC16060,MSC16060,MM,,,
MSC16061,MSC16061,MM,,,
MSC16062,MSC16062,MM,,,
MSC16063,MSC16063,MM,,,
MSC17001,MSC17001,MM,,,
MSC17002,MSC17002,MM,,,
MSC17003,MSC17003,MM,,,
MSC17004,MSC17004,MM,,,
MSC17005,MSC17005,MM,,,
MSC17006,MSC17006,MM,,,
MSC17007,MSC17007,MM,,,
MSC17008,MSC17008,MM,,,
MSC17009,MSC17009,MM,,,
MSC17010,MSC17010,MM,,,
MSC17011,MSC17011,MM,,,
MSC17012,MSC17012,MM,,,
MSC17013,MSC17013,MM,,,
MSC17014,MSC17014,MM,,,
MSC17015,MSC17015,MM,,,
MSC17016,MSC17016,MM,,,
MSC17017,MSC17017,MM,,,
MSC17018,MSC17018,MM,,,
MSC17019,MSC17019,MM,,,
MSC17020,MSC17020,MM,,,
MSC17021,MSC17021,MM,,,
MSC17022,MSC17022,MM,,,
MSC17023,MSC17023,MM,,,
MSC17024,MSC17024,MM,,,
MSC17025,MSC17025,MM,,,
MSC17026,MSC17026,MM,,,
MSC17027,MSC17027,MM,,,
MSC17028,MSC17028,MM,,,
MSC17029,MSC17029,MM,,,
MSC17030,MSC17030,MM,,,
MSC17031,MSC17031,MM,,,
MSC17032,MSC17032,MM,,,
MSC17033,MSC17033,MM,,,
MSC17034,MSC17034,MM,,,
MSC17035,MSC17035,MM,,,
MSC17036,MSC17036,MM,,,
MSC17037,MSC17037,MM,,,
MSC17038,MSC17038,MM,,,
MSC17039,MSC17039,MM,,,
MSC17040,MSC17040,MM,,,
MSC17041,MSC17041,MM,,,
MSC17042,MSC17042,MM,,,
MSC17043,MSC17043,MM,,,
MSC17044,MSC17044,MM,,,
MSC17045,MSC17045,MM,,,
MSC17046,MSC17046,MM,,,
MSC17047,MSC17047,MM,,,
MSC17048,MSC17048,MM,,,
MSC17049,MSC17049,MM,,,
MSC17050,MSC17050,MM,,,
MSC17051,MSC17051,MM,,,
MSC17052,MSC17052,MM,,,
MSC17053,MSC17053,MM,,,
MSC17054,MSC17054,MM,,,
MSC17055,MSC17055,MM,,,
MSC17056,MSC17056,MM,,,
MSC17057,MSC17057,MM,,,
MSC17058,MSC17058,MM,,,
MSC17059,MSC17059,MM,,,
MSC17060,MSC17060,MM,,,
MSC17061,MSC17061,MM,,,
MSC17062,MSC17062,MM,,,
MSC18001,MSC18001,MM,,,
MSC18002,MSC18002,MM,,,
MSC18003,MSC18003,MM,,,
MSC18004,MSC18004,MM,,,
MSC18005,MSC18005,MM,,,
MSC18006,MSC18006,MM,,,
MSC18007,MSC18007,MM,,,
MSC18008,MSC18008,MM,,,
MSC18009,MSC18009,MM,,,
MSC18010,MSC18010,MM,,,
MSC18011,MSC18011,MM,,,
MSC18012,MSC18012,MM,,,
MSC18013,MSC18013,MM,,,
MSC18014,MSC18014,MM,,,
MSC18015,MSC18015,MM,,,
MSC18016,MSC18016,MM,,,
MSC18017,MSC18017,MM,,,
MSC18018,MSC18018,MM,,,
MSC18019,MSC18019,MM,,,
MSC18020,MSC18020,MM,,,
MSC18021,MSC18021,MM,,,
MSC18022,MSC18022,MM,,,
MSC18023,MSC18023,MM,,,
MSC18024,MSC18024,MM,,,
MSC18025,MSC18025,MM,,,
MSC18026,MSC18026,MM,,,
MSC18027,MSC18027,MM,,,
MSC18028,MSC18028,MM,,,
MSC18029,MSC18029,MM,,,
MSC18030,MSC18030,MM,,,
MSC18031,MSC18031,MM,,,
MSC18032,MSC18032,MM,,,
MSC18033,MSC18033,MM,,,
MSC18034,MSC18034,MM,,,
MSC18035,MSC18035,MM,,,
MSC18036,MSC18036,MM,,,
MSC18037,MSC18037,MM,,,
MSC18038,MSC18038,MM,,,
MSC18039,MSC18039,MM,,,
MSC18040,MSC18040,MM,,,
MSC18041,MSC18041,MM,,,
MSC18042,MSC18042,MM,,,
MSC18043,MSC18043,MM,,,
MSC18044,MSC18044,MM,,,
MSC18045,MSC18045,MM,,,
MSC18046,MSC18046,MM,,,
MSC19001,MSC19001,MM,,,
MSC19002,MSC19002,MM,,,
MSC19003,MSC19003,MM,,,
MSC19004,MSC19004,MM,,,
MSC19005,MSC19005,MM,,,
MSC19006,MSC19006,MM,,,
MSC19007,MSC19007,MM,,,
MSC19008,MSC19008,MM,,,
MSC19009,MSC19009,MM,,,
MSC19010,MSC19010,MM,,,
MSC19011,MSC19011,MM,,,
MSC19012,MSC19012,MM,,,
MSC19013,MSC19013,MM,,,
MSC19014,MSC19014,MM,,,
MSC19015,MSC19015,MM,,,
MSC19016,MSC19016,MM,,,
MSC19017,MSC19017,MM,,,
MSC19018,MSC19018,MM,,,
MSC19019,MSC19019,MM,,,
MSC19020,MSC19020,MM,,,
MSC19021,MSC19021,MM,,,
MSC19022,MSC19022,MM,,,
MSC19023,MSC19023,MM,,,
MSC19024,MSC19024,MM,,,
MSC19025,MSC19025,MM,,,
MSC19026,MSC19026,MM,,,
MSC19027,MSC19027,MM,,,
MSC19028,MSC19028,MM,,,
MSC19029,MSC19029,MM,,,
MSC19030,MSC19030,MM,,,
MSC19031,MSC19031,MM,,,
MSC19032,MSC19032,MM,,,
MSC19033,MSC19033,MM,,,
MSC19034,MSC19034,MM,,,
MSC19035,MSC19035,MM,,,
MSC19036,MSC19036,MM,,,
MSC19037,MSC19037,MM,,,
MSC19038,MSC19038,MM,,,
MSC19039,MSC19039,MM,,,
MSC19040,MSC19040,MM,,,
MSC19041,MSC19041,MM,,,
MSC19042,MSC19042,MM,,,
MSC19043,MSC19043,MM,,,
MSC19044,MSC19044,MM,,,
MSC19045,MSC19045,MM,,,
